ingles,portugues
you,vocês
I or I.,Eu ou eu.
to,para
the,a
and,e
that,este
it,isto
of,do
me,Eu
what,o que
is,é
in,dentro
this,isto
know,conhecer
I'm,Eu estou
for,por
no,não
have,tenho
my,minha
don't,não
just,apenas
not,não
do,Faz
be,ser
on,sobre
your,sua
was,foi
we,nós
it's,Está
with,com
so,assim
but,mas
all,tudo
well,Nós vamos
are,são
he,ele
oh,oh
about,cerca de
right,certo
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,Curti
yeah,sim
if,E se
her,sua
she,ela
can,posso
up,acima
want,querer
think,acho
that's,isso é
now,agora
go,vai
him,dele
at,no
how,Como as
got,pegou
there,lá
one,1
did,fez
why,Por quê
see,Vejo
come,venha
good,Boa
they,elas
really,verdade
as,Como
would,gostaria
look,olhar
when,quando
time,Tempo
will,vai
okay,ok
back,de volta
can't,não pode
mean,significa
tell,dizer
I'll,Eu vou
from,a partir de
hey,Ei
were,nós estamos
he's,ele é
could,poderia
didn't,não
yes,sim
his,seu
been,estive
or,ou
something,algo
who,quem
because,Porque
some,algum
had,teve
then,então
say,dizer
ok,OK
take,leva
an,um
way,caminho
us,nós
little,pequena
make,faço
need,precisar
gonna,vai
never,Nunca
we're,estavam
too,também
love,amor
she's,ela é
I've,Eu tenho
sure,claro
them,eles
more,mais
over,sobre
our,nosso
sorry,desculpe
where,Onde
what's,o que é
let,deixar
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
has,tem
uh,uh
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,algum
life,vida
even,até
off,desligado
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensamento
help,ajuda
two,dois
talk,conversa
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nada
again,novamente
things,coisas
let's,Vamos
doesn't,não
call,ligar
told,contou
great,excelente
before,antes da
better,Melhor
ever,sempre
night,noite
than,do que
away,um jeito
first,primeiro
believe,acreditam
other,outro
feel,sentir
everything,tudo
work,trabalhar
you've,você
fine,multar
home,casa
after,depois
last,último
these,esses
day,dia
keep,guarda
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
Id,Identidade
guy,cara
long,grande
isn't,não é
always,sempre
listen,ouço
wanted,desejado
Mr.,Senhor.
guys,rapazes
huh,Hã
those,Essa
big,grande
lot,muito
happened,ocorrido
thanks,obrigado
won't,não vai
trying,tentando
kind,Gentil
wrong,errado
through,Através dos
talking,falando
made,feito
new,novo
being,ser
guess,acho
hi,Oi
care,Cuidado
bad,mau
mom,mamãe
remember,lembrar
getting,recebendo
we'll,Nós vamos
together,juntos
dad,Papai
leave,sair
mother,mãe
place,"Lugar, colocar"
understand,Compreendo
wouldn't,não
actually,na realidade
hear,ouvir
baby,bebê
nice,legais
father,pai
else,senão
stay,fique
done,feito
wasn't,não
their,seus
course,curso
might,poderia
mind,mente
every,todo
enough,o suficiente
try,tentar
hell,inferno
came,veio
someone,alguém
you'll,você vai
own,ter
family,família
whole,todo
another,outro
house,casa
yourself,você mesma
idea,idéia
ask,perguntar
best,melhor
must,devo
coming,chegando
old,velho
looking,Procurando
woman,mulher
hello,olá
which,que
years,anos
room,quarto
money,dinheiro
left,deixei
knew,sabia
tonight,esta noite
real,real
son,filho
hope,ter esperança
name,nome
same,mesmo
went,fui
happy,feliz
pretty,bonito
saw,viu
girl,menina
Sir,Senhor
Show,mostrar
Friend,amigo
already,já
saying,ditado
May,poder
next,próximo
three,três
job,trabalho
problem,problema
minute,minuto
found,encontrado
world,mundo
thinking,pensamento
haven't,não
